Location,Carpet/Super Area,Price
"3 BHK Flat for Sale in Central Park The Orchard, Sector 32 Sohna, Gurgaon",2129 sqft,₹3.75 Cr 
"3 BHK Flat for Sale in Saan Verdante, Sector 95, Gurgaon",1965 sqft,₹2.11 Cr 
"2 BHK Flat for Sale in Eldeco Acclaim, Sohna, Gurgaon",726 sqft,₹94 Lac 
"3 BHK Flat for Sale in Mahindra Luminare, Sector 59, Gurgaon",3106 sqft,₹5 Cr 
"3 BHK Flat for Sale in Tata La Vida, Sector 113, Gurgaon",1578 sqft,₹3.19 Cr 
"3 BHK Flat for Sale in Signature Global City 92, Sector 92, Gurgaon",1190 sqft,₹86 Lac 
"3 BHK Flat for Sale in SS Cendana, Sector 83, Gurgaon",1450 sqft,₹1.38 Cr 
"2 BHK Flat for Sale in Tata La Vida, Sector 113, Gurgaon",1276 sqft,₹1.55 Cr 
"2 BHK Flat for Sale in Shapoorji Pallonji Joyville, Sector 102, Gurgaon",915 sqft,₹1.05 Cr 
"3 BHK Flat for Sale in Puri The Aravallis, Ullahawas, Sector 61, Golf Course Extension Road, Gurgaon",2250 sqft,₹4 Cr 
"3 BHK Flat for Sale in Mahindra Luminare, Sector 59, Gurgaon",3025 sqft,₹5.80 Cr 
"3 BHK Flat for Sale in BPTP Terra, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",1832 sqft,₹1.61 Cr 
"3 BHK Flat for Sale in Phase 1 DLF, Gurgaon",1600 sqft,₹2.55 Cr 
"3 BHK Flat for Sale in Phase 1 DLF, Gurgaon",1630 sqft,₹2.75 Cr 
"3 BHK Flat for Sale in SS Cendana, Sector 83, Gurgaon",1250 sqft,₹1.37 Cr 
"3 BHK Flat for Sale in Urban Oasis, Sector 62, Gurgaon",1609 sqft,₹3.70 Cr 
"3 BHK Flat for Sale in Unitech South City II, South City II, Gurgaon",1950 sqft,₹2.25 Cr 
"2 BHK Flat for Sale in Godrej Air, Sector 85, Gurgaon",1405 sqft,₹1.35 Cr 
"2 BHK Flat for Sale in M3M Skycity, Sector 65, Gurgaon",1090 sqft,₹2.20 Cr 
"3 BHK Flat for Sale in Elan The Presidential, Sector 106, Gurgaon",1000 sqft,₹1.91 Cr 
"3 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",1000 sqft,₹2.20 Cr 
"2 BHK Flat for Sale in M3M Skycity, Sector 65, Gurgaon",900 sqft,₹1.50 Cr 
"2 BHK Flat for Sale in Signature Global City 79B 1, Sector 79, Gurgaon",1055 sqft,₹88.8 Lac 
"3 BHK Flat for Sale in Smartworld One DXP, Sector 113, Gurgaon",1511 sqft,₹2.87 Cr 
"3 BHK Flat for Sale in Krisumi Waterfall Residences, Sector 36A, Gurgaon",1325 sqft,₹3.80 Cr 
"3 BHK Flat for Sale in Chintamani, Sector 103, Gurgaon",1200 sqft,₹1.34 Cr 
"3 BHK Flat for Sale in Puri The Aravallis, Ullahawas, Sector 61, Golf Course Extension Road, Gurgaon",1250 sqft,₹4.15 Cr 
"2 BHK Flat for Sale in Godrej Serenity , Sector 33 Sohna, Gurgaon",950 sqft,₹1.13 Cr 
"3 BHK Flat for Sale in Shapoorji Pallonji Joyville, Sector 102, Gurgaon",1480 sqft,₹1.90 Cr 
"2 BHK Flat for Sale in Signature Global City 81, Sector 81A, NH 8, Gurgaon",1075 sqft,₹99.1 Lac 
